day,daytype,term,p_5,p_ave,p_95,t1,t2,t3,t4,p_lo,p_hi,yday
2019-02-03,Weekend,Spring,369.2,414.63103157894733,454.1160000000001,6.704072659764805,17.750000569872807,22.8059720473206,23.92054646737631,394.30665762844086,437.2721738245875,34
2019-02-04,Weekday,Spring,376.58399999999995,438.8366210526316,487.344,5.749999399431016,10.333474039993213,22.906504710735888,23.99999999685513,392.05708336678566,464.23499351191,35
2019-02-05,Weekday,Spring,380.27599999999995,433.7408,487.34399999999994,3.920107746143357,16.275973051002897,22.500002160243987,23.99972725860279,394.69535374437294,465.4489880450448,36
2019-02-06,Weekday,Spring,390.2443999999999,446.4983157894736,505.804,5.500001130982064,15.110218136022207,20.792717933086752,23.999999996240255,404.834471206326,486.8044165288919,37
2019-02-07,Weekday,Spring,387.65999999999997,445.5272421052631,499.5275999999999,5.163024820147013,15.749999180586377,21.03840557666893,23.999928544575226,406.80974076801704,483.0840737879348,38
2019-02-08,Weekday,Spring,383.968,454.9780842105263,516.88,5.4727663548203695,13.750007350774988,17.934432764620702,23.99999927104143,411.3623183333118,502.52205740008895,39
2019-02-09,Weekend,Spring,383.96799999999996,428.2384105263158,468.884,8.876017398854053,15.756201214693244,19.202711079410005,23.999999999999996,410.5330937398611,455.8199999765873,40
2019-02-10,Weekend,Spring,371.7844,414.00922105263163,462.6076,6.729304097412235,6.607214608932078,23.568207769542365,23.7287125273367,393.26872244517415,422.2451650268522,41
2019-02-11,Weekday,Spring,379.16839999999996,447.00806315789475,504.32719999999995,4.999999735323399,14.34320722771435,23.117150291504398,23.99999999883509,396.9298153763444,482.5478756729089,42
2019-02-12,Weekday,Spring,383.96799999999996,454.11600000000004,509.496,6.60843230337079,11.07748351438612,21.601760562252117,23.999999999999996,407.6525282487969,486.7286666926803,43
2019-02-13,Weekday,Spring,383.96799999999996,466.59107368421064,527.9559999999999,6.181012037172358,11.786480315886479,21.494610691399092,23.999999999999947,408.66203274383315,508.62157891915797,44
2019-02-14,Weekday,Spring,401.3204,462.35498947368416,513.188,6.000002993667741,10.902618592858435,21.609593704342682,23.994292618681722,420.88133100309403,489.17147137696713,45
2019-02-15,Weekday,Spring,397.6284,452.4818,503.2195999999999,5.749997858845341,11.511842621640957,19.461524641291724,23.999693873633227,419.98226895489006,479.42904868861797,46
2019-02-16,Weekend,Spring,379.16839999999996,420.5461684210527,457.808,10.750004254218943,17.749989386055393,23.50768637062846,23.675613098516,409.3019438623866,438.10108128754484,47
2019-02-17,Weekend,Spring,372.892,416.4187368421053,458.9156,7.299260513649193,6.0609290256372965,23.789559609652247,23.904178020363183,402.93759951906657,422.34290269285117,48
2019-02-18,Weekday,Holiday,369.2,420.0699473684211,462.6076,11.499999871524675,17.92192303551916,23.25813685845832,23.377361739436054,402.2044297671191,450.55879008798416,49
2019-02-19,Weekday,Spring,386.5523999999999,448.47907368421045,505.804,5.249993592711317,16.956964173088817,21.543701124935957,23.999639338735197,408.23241836011044,489.9832835342827,50
2019-02-20,Weekday,Spring,384.33719999999994,449.06378947368404,495.8356,5.890675035521435,11.509581888533233,21.911230304689873,23.999999999999996,409.4507302208787,475.4575609631739,51
2019-02-21,Weekday,Spring,386.5524,437.36605263157907,499.5275999999999,5.51867126298299,17.66521277446791,22.61446261071651,23.999999999999986,399.1758295448969,476.63719989687087,52
2019-02-22,Weekday,Spring,383.96799999999996,435.7415684210527,491.03599999999994,8.26863902012916,16.350721078044902,19.249996143579473,23.99684577150953,410.51031957816275,474.1970157724016,53
2019-02-23,Weekend,Spring,382.86039999999997,428.8938105263158,484.7596,10.57769292208237,16.24999989686648,20.995185992992976,23.999997199065852,405.83284654074015,466.1471735129418,54
2019-02-24,Weekend,Spring,375.47639999999996,425.6681684210526,472.57599999999996,11.946309262526908,14.897210616593261,22.745906891925955,23.999999999999996,404.985077783398,454.3541935341686,55
2019-02-25,Weekday,Spring,385.44479999999993,462.3938526315791,521.6795999999999,5.965321099192429,12.636873745036512,20.647347702848254,23.99999999999994,413.36139078424543,502.80425006363157,56
2019-02-26,Weekday,Spring,387.65999999999997,465.4732842105264,531.6479999999999,7.249998838531967,12.115112419287147,19.450853930907027,23.99999666086051,413.5997098781704,515.868536996458,57
2019-02-27,Weekday,Spring,381.7528,455.695494736842,508.01919999999996,5.7892788806554805,11.000001219769585,20.8331755204704,23.999697283271455,407.70866605794083,489.15640209616305,58
2019-02-28,Weekday,Spring,390.2443999999999,445.0608842105263,503.2195999999999,5.8088478763387545,17.49987604393997,18.833046653921098,23.999999997598056,413.0486661873072,490.9204810001383,59
2019-03-01,Weekday,Spring,382.86039999999997,447.66185263157905,505.804,7.360103830880499,12.24999973902801,19.970959837258413,23.999913037438873,405.15399339967735,488.15507912849534,60
2019-03-02,Weekend,Spring,371.78439999999995,433.1521052631579,484.7596,9.06157934199529,15.437222398631318,20.585518276287054,23.999999999999996,404.91897714423146,471.6969523790251,61
2019-03-03,Weekend,Spring,382.86039999999997,430.8758315789473,465.192,5.250014261409996,14.506171901312513,23.237429263008742,23.999997495230883,404.7016493945448,449.98920673807555,62
