[Award Level Code],[CIP Code and Description (4 digit)],[Institution Name],2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Bachelor's degree,11.04 - Information Science/Studies,Denver Technical College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,20,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,DePaul University,19,27,24,18,17,33,28,42,30,18,29,49,74,77,100,152,135,93,65,1,-
Bachelor's degree,11.04 - Information Science/Studies,"DeVry College of New York (New York, NY)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,85,4,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Devry Institute of Technology,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-
Bachelor's degree,11.04 - Information Science/Studies,Devry University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445,310,208,151,120
Bachelor's degree,11.04 - Information Science/Studies,"DeVry University Arizona (Phoenix, AZ)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,507,600,440,349,326,322,255
Bachelor's degree,11.04 - Information Science/Studies,"DeVry University California (Pomona, CA)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,530,452,180,139,113,89,94
Bachelor's degree,11.04 - Information Science/Studies,"DeVry University Georgia (Decatur, GA)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,268,182,209,171,124,122
Bachelor's degree,11.04 - Information Science/Studies,"DeVry University Illinois (Chicago, IL)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,484,401,213,209,154,102,101
Bachelor's degree,11.04 - Information Science/Studies,"DeVry University Missouri (Kansas City, MO)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,167,147,86,86,74,60
Bachelor's degree,11.04 - Information Science/Studies,"DeVry University Ohio (Columbus, OH)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,301,241,187,146,171,146
Bachelor's degree,11.04 - Information Science/Studies,"DeVry University Texas (Irving, TX)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,99,147,157,140,116,95,82
Bachelor's degree,11.04 - Information Science/Studies,Doane University-Arts & Sciences,2,3,5,3,4,3,4,4,3,1,11,8,22,11,9,6,3,3,2,-,-
Bachelor's degree,11.04 - Information Science/Studies,Dominican University,-,-,-,-,-,1,-,1,1,1,2,1,2,6,4,5,7,6,3,6,-
Bachelor's degree,11.04 - Information Science/Studies,Dordt College,1,-,1,2,-,3,1,1,1,-,1,2,2,2,6,2,2,3,5,3,3
Bachelor's degree,11.04 - Information Science/Studies,Drake University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,21,12,12,21,14,17
Bachelor's degree,11.04 - Information Science/Studies,Drexel University,53,62,55,66,43,63,62,72,73,97,125,187,195,206,173,144,105,83,79,51,39
Bachelor's degree,11.04 - Information Science/Studies,East Carolina University,-,2,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,East Texas Baptist University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Bachelor's degree,11.04 - Information Science/Studies,Eastern Connecticut State University,37,26,32,16,16,17,12,11,4,4,15,12,10,1,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Eastern Florida State College,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Eastern Michigan University,-,-,-,-,-,-,-,-,-,-,-,-,54,46,74,-,-,-,-,39,48
Bachelor's degree,11.04 - Information Science/Studies,Eastern Washington University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,23,29,24,9,7,13
Bachelor's degree,11.04 - Information Science/Studies,Elizabethtown College,6,7,3,3,2,3,15,14,7,11,9,7,7,9,3,2,4,7,2,1,2
Bachelor's degree,11.04 - Information Science/Studies,Elizabethtown College School of Continuing and Professional Studies,9,6,6,4,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Elmhurst College,1,4,9,4,5,4,3,4,3,4,2,5,7,18,11,19,22,16,9,6,13
Bachelor's degree,11.04 - Information Science/Studies,Elmira College,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,2,5,2,3,-,-
Bachelor's degree,11.04 - Information Science/Studies,Elon University,5,3,6,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Emporia State University,24,19,27,15,16,12,21,12,17,15,11,12,23,38,51,27,25,26,25,16,14
Bachelor's degree,11.04 - Information Science/Studies,Everest University-Brandon,-,-,-,-,-,-,-,-,-,4,4,4,10,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Everest University-Pompano Beach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,10,5,4,7
Bachelor's degree,11.04 - Information Science/Studies,Excelsior College,21,33,28,14,25,38,39,41,37,81,66,-,93,88,78,55,43,54,43,33,39
Bachelor's degree,11.04 - Information Science/Studies,Fairmont State University,17,14,8,2,18,13,13,12,13,20,19,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Farmingdale State College,-,-,-,-,-,67,57,58,58,51,78,67,63,57,27,5,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Felician University,-,-,-,-,-,-,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Ferrum College,-,-,-,-,2,-,2,1,1,1,2,1,6,9,8,4,4,2,2,2,4
Bachelor's degree,11.04 - Information Science/Studies,Florida Institute of Technology,-,-,-,-,-,-,18,5,1,2,1,4,1,7,4,12,4,13,6,2,-
Bachelor's degree,11.04 - Information Science/Studies,Florida Institute of Technology-Online,54,52,56,41,66,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Florida International University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142,186,87,87,69
Bachelor's degree,11.04 - Information Science/Studies,Florida State University,-,-,-,-,-,-,-,4,-,-,-,100,215,204,253,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Fontbonne University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Bachelor's degree,11.04 - Information Science/Studies,Fordham University,14,4,3,3,5,8,9,6,10,7,7,5,6,7,7,1,-,1,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Fort Hays State University,65,88,83,77,109,109,70,30,26,30,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Fort Valley State University,8,11,16,1,4,12,6,-,5,12,7,16,10,13,8,10,15,7,9,7,7
Bachelor's degree,11.04 - Information Science/Studies,Franklin Pierce College-Graduate And Professional Studies,-,-,-,-,-,-,-,-,-,-,-,-,5,9,5,1,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Franklin Pierce University,-,-,-,-,-,-,-,-,-,15,10,10,5,8,8,3,5,3,3,3,-
Bachelor's degree,11.04 - Information Science/Studies,Friends University,15,-,27,35,20,32,13,8,31,27,25,45,91,113,154,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Frostburg State University,4,8,12,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Furman,3,6,2,2,5,-,2,4,3,3,4,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Gallaudet University,-,-,5,4,10,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,George Fox University,5,5,1,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,George Washington University,21,13,12,13,12,16,15,11,6,6,9,12,17,32,42,39,37,43,31,23,17
Bachelor's degree,11.04 - Information Science/Studies,Georgia Southern University,113,105,100,88,66,54,56,61,36,80,70,58,39,24,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Globe Institute of Technology,-,-,6,9,8,4,4,10,5,1,1,7,18,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Golden Gate University-San Francisco,1,1,1,-,4,6,9,12,16,20,24,13,-,-,42,15,17,19,12,9,5
Bachelor's degree,11.04 - Information Science/Studies,Goshen College,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Grambling State University,20,11,27,27,23,29,47,41,33,44,52,45,64,69,92,70,60,56,53,55,41
Bachelor's degree,11.04 - Information Science/Studies,Grand Valley State University,49,31,39,49,45,49,28,31,26,38,33,24,31,37,36,43,34,32,21,23,10
Bachelor's degree,11.04 - Information Science/Studies,Grantham University,10,22,20,-,1,3,16,-,62,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Guilford College,-,-,3,16,7,15,12,18,15,17,30,21,28,30,17,1,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Hampton University,7,3,8,4,-,3,3,2,7,6,6,13,15,26,21,13,18,5,4,4,3
Bachelor's degree,11.04 - Information Science/Studies,Harris-Stowe State University,-,-,-,-,5,11,9,10,4,4,8,14,18,13,17,13,2,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Hartwick College,5,3,3,2,2,3,4,1,4,4,7,3,7,2,9,7,8,5,5,8,5
Bachelor's degree,11.04 - Information Science/Studies,Hiram College,-,-,-,-,-,-,-,1,-,-,2,-,7,-,-,9,5,1,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Hofstra University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116,130,103,80,50,31,47
Bachelor's degree,11.04 - Information Science/Studies,Houston Baptist University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Howard University,-,-,-,-,-,-,-,12,16,13,19,27,33,46,58,58,56,12,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Humboldt State University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,31,26,25,25,13,15
Bachelor's degree,11.04 - Information Science/Studies,Husson University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5
Bachelor's degree,11.04 - Information Science/Studies,Idaho State University,-,1,1,2,1,1,17,20,9,4,7,14,17,23,23,29,27,17,15,7,13
Bachelor's degree,11.04 - Information Science/Studies,Immaculata University,6,2,2,5,6,5,3,3,3,7,-,5,5,10,8,-,7,4,4,1,-
Bachelor's degree,11.04 - Information Science/Studies,Iona College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,25,19,21,7,21,10
Bachelor's degree,11.04 - Information Science/Studies,Jacksonville University,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,James Madison University,123,118,132,109,93,83,75,49,35,55,35,46,75,115,158,167,192,184,104,104,118
Bachelor's degree,11.04 - Information Science/Studies,Jefferson (Philadelphia University + Thomas Jefferson University),7,3,8,7,5,7,4,6,8,9,9,11,11,21,25,24,29,18,13,22,22
Bachelor's degree,11.04 - Information Science/Studies,Johns Hopkins University,-,1,-,1,-,2,9,13,10,23,21,11,19,32,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Johnson & Wales University-Providence,5,4,8,10,10,9,11,13,14,30,36,37,50,64,56,50,46,40,27,20,19
Bachelor's degree,11.04 - Information Science/Studies,Juniata College,-,-,-,-,-,-,-,-,-,-,-,16,10,18,9,8,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Kansas State University,14,7,6,7,6,11,8,1,10,14,11,12,18,10,17,13,14,9,6,11,11
Bachelor's degree,11.04 - Information Science/Studies,Kennesaw State University,66,95,73,77,93,78,56,58,67,64,76,81,94,97,110,105,86,90,78,64,53
Bachelor's degree,11.04 - Information Science/Studies,La Salle University,-,-,-,-,-,-,-,-,7,5,12,10,11,13,8,3,1,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Lamar University,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Lawrence Technological University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,23,17,14
Bachelor's degree,11.04 - Information Science/Studies,Lehigh University,-,1,7,7,13,13,17,21,19,13,16,27,27,26,30,32,20,11,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Lenoir-Rhyne University,2,2,2,5,3,1,2,3,5,1,7,2,1,5,3,11,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,LeTourneau University,1,3,1,-,-,1,1,2,1,2,2,1,1,1,3,6,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Lewis University,-,-,-,-,-,-,-,-,1,-,-,1,2,4,10,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Lewis-Clark State College,-,-,-,-,-,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Limestone College,-,-,-,-,-,-,1,-,3,4,17,39,59,40,5,1,3,15,22,6,-
Bachelor's degree,11.04 - Information Science/Studies,Lincoln University,9,9,17,20,16,19,15,23,12,20,30,28,30,64,54,53,35,32,36,27,20
Bachelor's degree,11.04 - Information Science/Studies,LIU Post,3,8,6,1,2,5,5,-,-,-,-,-,-,-,-,27,4,13,10,3,16
Bachelor's degree,11.04 - Information Science/Studies,Loyola University New Orleans,-,-,-,-,-,-,-,-,-,-,-,-,2,4,10,14,14,13,6,5,11
Bachelor's degree,11.04 - Information Science/Studies,Mansfield University of Pennsylvania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,19,22,8,18,8,11
Bachelor's degree,11.04 - Information Science/Studies,Marist College,-,-,-,-,-,-,-,8,7,6,9,20,8,18,24,56,48,29,24,18,15
Bachelor's degree,11.04 - Information Science/Studies,Mary Baldwin University,-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Marygrove College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,7,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Marymount College of Fordham University,-,-,-,-,-,-,-,-,-,-,1,3,15,8,18,8,11,11,16,3,6
Bachelor's degree,11.04 - Information Science/Studies,Marymount University,-,-,-,-,-,-,-,17,10,4,-,2,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,McKendree University,2,4,6,8,11,15,8,19,9,10,11,12,30,46,37,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,McMurry University,-,-,-,-,-,-,-,-,-,-,-,3,3,8,11,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Medaille College,3,6,8,14,8,-,1,3,4,6,14,12,10,16,11,10,9,6,1,6,14
Bachelor's degree,11.04 - Information Science/Studies,Mercer University,10,7,5,9,9,6,11,23,21,26,42,31,33,28,57,50,59,51,41,28,19
Bachelor's degree,11.04 - Information Science/Studies,Mercy College,9,9,10,14,8,8,9,11,10,9,14,25,24,-,-,-,-,-,23,23,26
Bachelor's degree,11.04 - Information Science/Studies,Messiah College,-,-,-,3,4,2,8,2,7,8,10,8,8,16,16,13,7,10,5,6,6
Bachelor's degree,11.04 - Information Science/Studies,Metropolitan State University,41,47,35,25,24,20,30,16,25,28,36,24,42,54,51,47,38,40,17,17,15
Bachelor's degree,11.04 - Information Science/Studies,Michigan State University,-,-,-,-,2,7,6,8,4,3,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,MidAmerica Nazarene University,-,-,-,-,-,-,-,-,1,-,-,-,-,5,19,32,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Midstate College,3,7,1,3,1,6,3,4,5,3,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Miles College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Minnesota State University Moorhead,18,7,17,12,18,14,12,6,-,-,-,-,-,-,-,-,-,-,-,-,4
Bachelor's degree,11.04 - Information Science/Studies,Minnesota State University-Mankato,-,-,-,-,-,-,1,27,4,7,5,4,1,-,-,-,-,-,9,-,-
Bachelor's degree,11.04 - Information Science/Studies,Minot State University,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Missouri Southern State University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,22,16
Bachelor's degree,11.04 - Information Science/Studies,Missouri University of Science and Technology,40,40,49,33,29,38,32,26,20,32,21,21,18,7,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Missouri Western State University,-,-,-,-,12,18,11,5,6,4,8,9,5,10,13,6,12,20,9,2,12
Bachelor's degree,11.04 - Information Science/Studies,Molloy College,2,4,1,8,-,-,3,2,3,1,6,4,6,5,8,3,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Montana State University-Northern,-,4,-,1,2,4,4,6,8,16,8,6,8,14,12,7,6,9,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Moravian College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
Bachelor's degree,11.04 - Information Science/Studies,Morgan State University,23,30,19,14,14,14,9,12,16,22,27,43,56,59,82,70,61,43,29,21,26
Bachelor's degree,11.04 - Information Science/Studies,Muhlenberg College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,6
Bachelor's degree,11.04 - Information Science/Studies,Murray State University,31,26,23,18,31,23,1,-,31,44,34,37,33,28,16,12,-,1,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,National Louis University,-,1,-,1,1,-,1,-,2,2,6,14,10,17,21,11,36,-,19,22,10
Bachelor's degree,11.04 - Information Science/Studies,National University,-,-,-,-,-,12,1,4,-,3,-,-,-,-,-,156,158,102,67,-,-
Bachelor's degree,11.04 - Information Science/Studies,Nazareth College,-,7,6,6,4,2,2,1,2,4,2,2,2,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Nebraska Wesleyan University,-,-,1,-,-,-,2,2,-,-,-,-,3,5,3,5,10,2,-,4,-
Bachelor's degree,11.04 - Information Science/Studies,New Jersey Institute of Technology,29,34,34,27,28,32,29,21,24,20,28,31,34,44,46,29,24,11,11,16,6
Bachelor's degree,11.04 - Information Science/Studies,New Mexico Highlands University,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Bachelor's degree,11.04 - Information Science/Studies,New Mexico State University-Main Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,56,63,43,54,49,43,46,30
Bachelor's degree,11.04 - Information Science/Studies,Newman University,8,2,5,2,7,3,4,4,4,5,4,6,6,5,7,3,10,3,4,6,4
Bachelor's degree,11.04 - Information Science/Studies,North Carolina Central University,-,-,22,23,23,25,18,16,17,15,11,7,16,17,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Northeastern University,6,10,11,18,13,10,23,18,21,21,20,28,21,10,7,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Northern Arizona University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,39,25
Bachelor's degree,11.04 - Information Science/Studies,Northern Kentucky University,28,18,22,12,18,14,-,9,1,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Northwestern College,2,2,2,4,2,4,2,2,1,-,-,1,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Northwestern State University of Louisiana,29,22,14,7,20,22,13,18,29,31,21,29,38,39,35,36,28,16,14,15,16
Bachelor's degree,11.04 - Information Science/Studies,Northwestern University,16,13,20,5,9,4,5,4,4,4,4,3,3,8,14,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Norwich University,-,22,12,15,13,9,11,20,13,6,12,7,4,1,12,10,20,18,8,7,8
Bachelor's degree,11.04 - Information Science/Studies,Notre Dame of Maryland University,-,2,1,3,3,2,1,9,8,8,10,5,10,15,16,17,23,25,-,20,15
Bachelor's degree,11.04 - Information Science/Studies,Oakwood University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,7,1,1,-
Bachelor's degree,11.04 - Information Science/Studies,Ohio Dominican University,-,-,1,4,9,5,6,9,7,7,4,6,2,3,14,15,11,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Ohio State University-Main Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,69,38
Bachelor's degree,11.04 - Information Science/Studies,Oklahoma Baptist University,3,-,1,-,-,-,-,-,-,1,2,-,-,1,1,2,3,3,2,4,-
Bachelor's degree,11.04 - Information Science/Studies,Oklahoma Christian University,1,-,4,4,1,4,5,1,1,1,1,2,-,6,7,2,5,9,-,-,5
Bachelor's degree,11.04 - Information Science/Studies,Oklahoma Wesleyan University,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,1,2,2,1,1,2
Bachelor's degree,11.04 - Information Science/Studies,Olivet Nazarene University,3,3,2,5,8,1,9,2,-,2,2,-,-,2,-,4,5,3,5,8,3
Bachelor's degree,11.04 - Information Science/Studies,Ottawa University-Kansas City,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,5
Bachelor's degree,11.04 - Information Science/Studies,Ottawa University-Phoenix,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pace University-New York,14,9,14,14,13,16,22,19,24,26,49,69,51,45,172,188,173,38,66,10,47
Bachelor's degree,11.04 - Information Science/Studies,Pace University-Pleasantville Briarcliff,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,21,9,28
Bachelor's degree,11.04 - Information Science/Studies,Park University,-,-,-,-,-,-,-,-,16,18,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Peirce College,-,-,-,-,-,-,50,47,72,64,60,53,53,62,70,37,12,4,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Main Campus,607,549,520,485,478,516,757,755,585,420,418,375,329,231,153,1,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Abington,66,46,43,31,32,29,-,7,22,15,26,22,39,36,42,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Beaver,16,24,18,12,17,15,-,1,12,8,13,15,19,22,20,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Berks,39,40,24,19,27,18,-,3,22,15,32,38,31,52,25,8,5,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Brandywine,14,19,18,22,14,17,-,2,14,20,24,20,28,28,22,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State DuBois,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Fayette- Eberly,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Greater Allegheny,-,3,-,7,7,6,-,-,10,17,24,26,36,36,48,5,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Harrisburg,21,17,17,17,14,16,-,2,15,15,27,40,25,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Hazleton,6,7,8,6,5,9,-,-,13,8,9,15,10,23,3,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Lehigh Valley,12,9,4,6,7,1,-,-,7,10,15,11,13,20,10,4,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Mont Alto,8,6,4,9,7,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State New Kensington,15,21,18,27,24,20,-,1,11,12,19,26,37,28,26,8,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Schuylkill,4,7,7,5,8,10,-,-,4,2,4,3,1,1,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Wilkes-Barre,10,12,6,10,10,13,-,1,4,9,13,17,16,13,7,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Worthington Scranton,14,22,26,19,20,8,-,-,25,15,19,13,15,16,3,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-Penn State York,12,13,18,19,25,19,-,-,10,8,24,18,17,12,15,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Pennsylvania State University-World Campus,77,63,60,45,52,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Plymouth State University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,7,2,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Polytechnic Institute of New York University,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,3,5,5,4,-,-
Bachelor's degree,11.04 - Information Science/Studies,Prescott College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Bachelor's degree,11.04 - Information Science/Studies,Quincy University,-,-,1,-,1,1,1,2,-,-,2,1,1,3,3,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Quinnipiac University,39,43,22,19,15,13,18,6,16,14,9,18,27,40,38,52,27,33,18,20,22
Bachelor's degree,11.04 - Information Science/Studies,Radford University,15,20,16,20,16,18,25,25,23,33,33,35,43,58,8,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Ramapo College of New Jersey,33,21,15,12,15,13,24,11,19,29,17,38,41,48,52,71,58,36,39,36,46
Bachelor's degree,11.04 - Information Science/Studies,Regis University,-,-,-,-,-,-,-,-,-,1,2,-,1,1,7,8,89,81,107,95,90
Bachelor's degree,11.04 - Information Science/Studies,Remington College-Denver Campus,-,-,-,-,-,-,-,-,-,-,-,-,2,2,7,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Roanoke College,-,-,-,-,1,-,1,2,2,2,-,4,-,4,2,1,5,3,2,2,2
Bachelor's degree,11.04 - Information Science/Studies,Robert Morris University,7,6,5,7,6,5,6,11,21,44,32,45,70,72,70,71,61,45,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Roberts Wesleyan College,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Rochester Institute of Technology,-,-,-,-,-,-,-,-,-,-,-,49,-,-,4,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Rockhurst University,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1,1,-,1,1
Bachelor's degree,11.04 - Information Science/Studies,Rollins College,-,-,-,-,-,-,-,-,-,-,-,1,6,13,14,10,10,8,7,5,8
