[Award Level Code],[CIP Code and Description (4 digit)],[Institution Name],2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Boardwalk And Marina Casino Dealers School,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,33
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Bossier Parish Community College,13,19,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brand College,30,48,57,41,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brightwood College-Baltimore,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brightwood College-Beaumont,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brightwood College-Beltsville,-,-,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brightwood College-Brownsville,-,-,-,-,-,-,2,39,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brightwood College-Corpus Christi,-,-,-,-,-,-,-,-,-,5,26,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brightwood College-Hammond,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brightwood College-Laredo,-,-,-,-,-,-,-,6,-,-,-,140,120,164,134,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brightwood College-Las Vegas,-,-,-,-,-,-,-,-,21,-,15,1,9,15,23,6,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brightwood College-McAllen,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Bristol Community College,-,-,-,-,-,-,-,-,1,2,-,10,2,9,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brookdale Community College,-,2,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Broward College,46,36,5,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brown Mackie College-Salina,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Brown Mackie College-Tucson,-,-,-,-,-,-,-,-,-,1,6,4,4,13,23,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Bryan College-Gold River,-,-,-,-,-,-,-,-,-,-,-,-,-,1,39,34,36,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Bryan University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,31,33,30,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Bunker Hill Community College,10,25,6,3,2,1,1,2,-,-,-,1,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Burlington College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Business And Technology Training Institute,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,38,65,6,10,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Butler County Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Butte College,25,24,36,25,17,1,17,23,18,50,17,8,1,3,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Caldwell Community College and Technical Institute,12,-,4,5,12,17,13,16,17,15,15,28,31,14,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cambridge Technical Institute,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Camden County College,-,1,4,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cape Fear Community College,57,79,16,-,-,-,1,-,3,-,4,3,6,4,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cape Girardeau Career and Technology Center,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,1,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Capitol Technology University,2,4,5,4,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Career Advancement And Applied Technology Training Division,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,35,51,76,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Career Alternatives Learning Center,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Career Blazers Learning Center of Melville,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,101,182,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Career Colleges of Chicago,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Career Technical Institute,54,105,129,189,158,163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Carl Sandburg College,26,24,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Carteret Community College,8,9,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Catawba Valley Community College,4,5,7,9,7,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",CBD College,-,-,-,-,-,-,-,-,-,-,-,18,18,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Alabama Community College,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Arizona College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,123,80,90,66,39,64
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Career Institute LLC,-,-,-,-,-,-,-,-,-,34,37,51,37,27,49,132,120,124,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Carolina Community College,18,3,33,81,28,59,19,34,25,25,-,2,6,12,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Coast College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,25,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Community College,30,38,31,35,57,41,32,33,101,101,23,8,43,25,19,42,25,45,42,50,43
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Lakes College-Brainerd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Oklahoma Area Vocational Technical School,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Piedmont Community College,54,277,202,95,47,56,18,1,1,-,5,-,-,3,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Technology Center,-,-,-,-,-,-,-,-,-,-,15,12,7,13,11,3,6,4,5,14,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Central Washington University,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Centro De Capacitacion Y Asesoramiento Vetelba,-,-,-,-,-,-,-,-,-,-,-,12,17,62,39,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Centura College-Chesapeake,-,-,-,-,-,-,-,-,-,-,-,-,46,32,49,52,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Centura College-Columbia,-,-,3,5,14,15,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Centura College-North Charleston,-,-,-,-,-,-,-,-,-,12,12,4,13,12,16,22,16,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Centura College-Richmond Main,-,-,-,-,-,-,-,-,-,-,-,-,-,14,50,35,46,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Centura College-Richmond Westend,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,2,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cerro Coso Community College,5,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",CET-San Jose,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Chabot College,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Chaffey College,-,-,-,-,-,-,-,1,-,11,5,6,19,251,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Charter College,-,-,-,70,-,18,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Charter College-Canyon Country,-,-,5,24,14,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Chattahoochee Valley Community College,-,3,-,3,2,5,4,4,-,-,1,-,3,2,-,2,8,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Chattanooga State Community College,-,-,1,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Chemeketa Community College,26,28,26,32,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Chestnut Hill College,-,-,-,-,5,12,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Chicago ORT Technical Institute,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Chicago Urban League Computer Training Center,-,-,-,-,-,-,-,-,-,-,49,55,59,40,33,60,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Chipola College,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cincinnati State Technical and Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Citrus College,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",City College of San Francisco,17,7,7,11,5,4,3,2,-,2,-,-,-,5,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cleary University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cleveland Community College,71,87,41,8,10,3,11,16,13,17,-,2,1,11,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cleveland Institute of Electronics,-,-,-,-,-,-,-,11,15,14,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cleveland Institute of Technology,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Clovis Community College,38,50,34,106,169,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Coastal Alabama Community College,2,7,4,4,6,3,2,4,1,2,3,3,4,22,36,23,15,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Coastal Bend College,4,8,7,16,25,5,14,50,55,-,-,-,13,4,-,9,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Coastline Community College,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cochise County Community College District,-,-,5,18,60,101,57,103,240,69,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",College of Alameda,5,1,2,-,1,2,2,8,-,3,4,3,8,8,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",College of Central Florida,64,77,100,79,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",College of Marin,-,2,-,-,1,-,1,-,1,-,-,-,-,4,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",College of San Mateo,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-
